Contact Event                                       Entry Epoch                      Exit Epoch                 Duration(min)

Cuiaba --> Walker_5                        Jan 01 2024 04:47:48.414062500   Jan 01 2024 04:50:13.179687500       2.412760417
Cuiaba --> Walker_4                        Jan 01 2024 04:56:55.867187500   Jan 01 2024 05:00:56.589843750       4.012044271
Cuiaba --> Walker_3                        Jan 01 2024 05:06:00.332031250   Jan 01 2024 05:10:53.714843750       4.889713542
Cuiaba --> Walker_2                        Jan 01 2024 05:14:51.183593750   Jan 01 2024 05:20:04.488281250       5.221744792
Cuiaba --> Walker_1                        Jan 01 2024 05:23:52.660156250   Jan 01 2024 05:29:19.644531250       5.449739583
Cuiaba --> Walker_10                       Jan 01 2024 05:33:30.261718750   Jan 01 2024 05:39:17.367187500       5.785091146
Cuiaba --> Walker_9                        Jan 01 2024 05:43:30.640625000   Jan 01 2024 05:49:26.246093750       5.926757812
Cuiaba --> Walker_8                        Jan 01 2024 05:53:06.382812500   Jan 01 2024 05:58:53.953125000       5.792838542
Cuiaba --> Walker_7                        Jan 01 2024 06:02:09.585937500   Jan 01 2024 06:07:44.605468750       5.583658854
Cuiaba --> Walker_6                        Jan 01 2024 06:11:29.921875000   Jan 01 2024 06:16:44.554687500       5.243880208
Cuiaba --> Walker_5                        Jan 01 2024 06:21:38.933593750   Jan 01 2024 06:26:21.226562500       4.704882813
Cuiaba --> Walker_4                        Jan 01 2024 06:32:07.335937500   Jan 01 2024 06:36:11.710937500       4.072916667
Cuiaba --> Walker_3                        Jan 01 2024 06:42:13.359375000   Jan 01 2024 06:45:18.234375000       3.081250000
Cuiaba --> Walker_9                        Jan 01 2024 13:51:15.675781250   Jan 01 2024 13:52:46.453125000       1.512955729
Cuiaba --> Walker_8                        Jan 01 2024 13:59:55.769531250   Jan 01 2024 14:03:16.382812500       3.343554688
Cuiaba --> Walker_7                        Jan 01 2024 14:07:47.984375000   Jan 01 2024 14:11:53.687500000       4.095052083
Cuiaba --> Walker_6                        Jan 01 2024 14:16:15.660156250   Jan 01 2024 14:20:49.718750000       4.567643229
Cuiaba --> Walker_5                        Jan 01 2024 14:26:16.371093750   Jan 01 2024 14:31:28.082031250       5.195182292
Cuiaba --> Walker_4                        Jan 01 2024 14:36:56.527343750   Jan 01 2024 14:42:40.511718750       5.733072917
Cuiaba --> Walker_3                        Jan 01 2024 14:46:27.089843750   Jan 01 2024 14:52:18.644531250       5.859244792
Cuiaba --> Walker_2                        Jan 01 2024 14:54:34.378906250   Jan 01 2024 15:00:22.812500000       5.807226563
Cuiaba --> Walker_1                        Jan 01 2024 15:03:10.886718750   Jan 01 2024 15:08:57.460937500       5.776236979
Cuiaba --> Walker_10                       Jan 01 2024 15:13:38.625000000   Jan 01 2024 15:19:13.644531250       5.583658854
Cuiaba --> Walker_9                        Jan 01 2024 15:24:47.867187500   Jan 01 2024 15:29:58.449218750       5.176367188
Cuiaba --> Walker_8                        Jan 01 2024 15:34:33.902343750   Jan 01 2024 15:39:11.945312500       4.634049479
Cuiaba --> Walker_7                        Jan 01 2024 15:43:02.042968750   Jan 01 2024 15:46:47.027343750       3.749739583
Cuiaba --> Walker_6                        Jan 01 2024 15:52:22.246093750   Jan 01 2024 15:54:30.542968750       2.138281250
Cuiaba --> Walker_10                       Jan 02 2024 04:24:46.875000000   Jan 02 2024 04:27:26.847656250       2.666210937
Cuiaba --> Walker_9                        Jan 02 2024 04:36:08.800781250   Jan 02 2024 04:40:31.636718750       4.380598958
Cuiaba --> Walker_8                        Jan 02 2024 04:45:19.640625000   Jan 02 2024 04:50:20.261718750       5.010351563
Cuiaba --> Walker_7                        Jan 02 2024 04:51:55.289062500   Jan 02 2024 04:57:14.968750000       5.327994792
Cuiaba --> Walker_6                        Jan 02 2024 04:59:34.953125000   Jan 02 2024 05:05:10.703125000       5.595833333
Cuiaba --> Walker_5                        Jan 02 2024 05:10:37.621093750   Jan 02 2024 05:16:24.792968750       5.786197917
Cuiaba --> Walker_4                        Jan 02 2024 05:22:51.542968750   Jan 02 2024 05:28:45.488281250       5.899088542
Cuiaba --> Walker_3                        Jan 02 2024 05:32:29.011718750   Jan 02 2024 05:38:18.640625000       5.827148438
Cuiaba --> Walker_2                        Jan 02 2024 05:39:23.851562500   Jan 02 2024 05:44:53.558593750       5.495117188
Cuiaba --> Walker_1                        Jan 02 2024 05:47:18.789062500   Jan 02 2024 05:52:25.453125000       5.111067708
Cuiaba --> Walker_10                       Jan 02 2024 05:58:46.757812500   Jan 02 2024 06:03:26.925781250       4.669466146
Cuiaba --> Walker_9                        Jan 02 2024 06:11:42.449218750   Jan 02 2024 06:15:28.296875000       3.764127604
Cuiaba --> Walker_8                        Jan 02 2024 06:21:59.031250000   Jan 02 2024 06:24:21.273437500       2.370703125
Cuiaba --> Walker_4                        Jan 02 2024 13:30:08.355468750   Jan 02 2024 13:32:38.500000000       2.502408854
Cuiaba --> Walker_3                        Jan 02 2024 13:39:10.828125000   Jan 02 2024 13:42:54.750000000       3.732031250
Cuiaba --> Walker_2                        Jan 02 2024 13:44:56.937500000   Jan 02 2024 13:49:05.429687500       4.141536458
Cuiaba --> Walker_1                        Jan 02 2024 13:51:56.425781250   Jan 02 2024 13:56:38.054687500       4.693815104
Cuiaba --> Walker_10                       Jan 02 2024 14:03:21.539062500   Jan 02 2024 14:08:40.289062500       5.312500000
Cuiaba --> Walker_9                        Jan 02 2024 14:16:20.816406250   Jan 02 2024 14:22:03.539062500       5.712044271
Cuiaba --> Walker_8                        Jan 02 2024 14:25:47.128906250   Jan 02 2024 14:31:40.476562500       5.889127604
Cuiaba --> Walker_7                        Jan 02 2024 14:31:42.335937500   Jan 02 2024 14:37:32.097656250       5.829361979
Cuiaba --> Walker_6                        Jan 02 2024 14:39:01.613281250   Jan 02 2024 14:44:40.152343750       5.642317708
Cuiaba --> Walker_5                        Jan 02 2024 14:50:46.449218750   Jan 02 2024 14:56:15.425781250       5.482942708
Cuiaba --> Walker_4                        Jan 02 2024 15:04:11.160156250   Jan 02 2024 15:09:16.496093750       5.088932292
Cuiaba --> Walker_3                        Jan 02 2024 15:14:07.886718750   Jan 02 2024 15:18:27.867187500       4.333007812
Cuiaba --> Walker_2                        Jan 02 2024 15:20:16.972656250   Jan 02 2024 15:23:51.398437500       3.573763021
Cuiaba --> Walker_1                        Jan 02 2024 15:27:57.101562500   Jan 02 2024 15:30:25.718750000       2.476953125
Cuiaba --> Walker_5                        Jan 03 2024 04:01:46.398437500   Jan 03 2024 04:04:39.121093750       2.878710938
Cuiaba --> Walker_4                        Jan 03 2024 04:15:19.609375000   Jan 03 2024 04:19:56.324218750       4.611914063
Cuiaba --> Walker_3                        Jan 03 2024 04:24:34.500000000   Jan 03 2024 04:29:51.589843750       5.284830729
Cuiaba --> Walker_2                        Jan 03 2024 04:29:07.429687500   Jan 03 2024 04:34:27.773437500       5.339062500
Cuiaba --> Walker_1                        Jan 03 2024 04:35:24.550781250   Jan 03 2024 04:40:51.335937500       5.446419271
Cuiaba --> Walker_10                       Jan 03 2024 04:47:43.585937500   Jan 03 2024 04:53:32.417968750       5.813867187
Cuiaba --> Walker_9                        Jan 03 2024 05:02:17.292968750   Jan 03 2024 05:08:11.105468750       5.896875000
Cuiaba --> Walker_8                        Jan 03 2024 05:11:56.023437500   Jan 03 2024 05:17:36.222656250       5.669986979
Cuiaba --> Walker_7                        Jan 03 2024 05:16:28.687500000   Jan 03 2024 05:21:59.789062500       5.518359375
Cuiaba --> Walker_6                        Jan 03 2024 05:22:59.953125000   Jan 03 2024 05:28:16.246093750       5.271549479
Cuiaba --> Walker_5                        Jan 03 2024 05:35:55.976562500   Jan 03 2024 05:40:30.367187500       4.573177083
Cuiaba --> Walker_4                        Jan 03 2024 05:51:12.847656250   Jan 03 2024 05:54:36.515625000       3.394466146
Cuiaba --> Walker_3                        Jan 03 2024 06:01:38.660156250   Jan 03 2024 06:03:32.414062500       1.895898438
Cuiaba --> Walker_9                        Jan 03 2024 13:09:23.546875000   Jan 03 2024 13:12:14.808593750       2.854361979
Cuiaba --> Walker_8                        Jan 03 2024 13:18:22.765625000   Jan 03 2024 13:22:24.085937500       4.022005208
Cuiaba --> Walker_7                        Jan 03 2024 13:21:59.582031250   Jan 03 2024 13:26:16.640625000       4.284309896
Cuiaba --> Walker_6                        Jan 03 2024 13:27:47.085937500   Jan 03 2024 13:32:19.949218750       4.547721354
Cuiaba --> Walker_5                        Jan 03 2024 13:40:26.574218750   Jan 03 2024 13:45:43.132812500       5.275976563
Cuiaba --> Walker_4                        Jan 03 2024 13:55:35.875000000   Jan 03 2024 14:01:27.429687500       5.859244792
Cuiaba --> Walker_3                        Jan 03 2024 14:05:12.812500000   Jan 03 2024 14:11:06.890625000       5.901302083
Cuiaba --> Walker_2                        Jan 03 2024 14:08:54.609375000   Jan 03 2024 14:14:41.980468750       5.789518229
Cuiaba --> Walker_1                        Jan 03 2024 14:14:42.378906250   Jan 03 2024 14:20:28.289062500       5.765169271
Cuiaba --> Walker_10                       Jan 03 2024 14:27:54.605468750   Jan 03 2024 14:33:24.976562500       5.506184896
Cuiaba --> Walker_9                        Jan 03 2024 14:43:44.281250000   Jan 03 2024 14:48:30.625000000       4.772395833
Cuiaba --> Walker_8                        Jan 03 2024 14:53:35.894531250   Jan 03 2024 14:57:37.347656250       4.024218750
Cuiaba --> Walker_7                        Jan 03 2024 14:57:26.921875000   Jan 03 2024 15:00:54.175781250       3.454231771
Cuiaba --> Walker_6                        Jan 03 2024 15:03:51.214843750   Jan 03 2024 15:06:03.363281250       2.202473958
Cuiaba --> Walker_10                       Jan 04 2024 03:38:47.582031250   Jan 04 2024 03:41:51.859375000       3.071289062
Cuiaba --> Walker_9                        Jan 04 2024 03:54:36.527343750   Jan 04 2024 03:59:30.839843750       4.905208333
Cuiaba --> Walker_8                        Jan 04 2024 04:03:52.746093750   Jan 04 2024 04:09:14.285156250       5.358984375
Cuiaba --> Walker_7                        Jan 04 2024 04:06:07.949218750   Jan 04 2024 04:11:33.605468750       5.427604167
Cuiaba --> Walker_6                        Jan 04 2024 04:11:04.851562500   Jan 04 2024 04:16:40.800781250       5.599153646
Cuiaba --> Walker_5                        Jan 04 2024 04:24:48.023437500   Jan 04 2024 04:30:37.320312500       5.821614583
Cuiaba --> Walker_4                        Jan 04 2024 04:41:36.003906250   Jan 04 2024 04:47:25.832031250       5.830468750
Cuiaba --> Walker_3                        Jan 04 2024 04:51:20.511718750   Jan 04 2024 04:57:00.710937500       5.669986979
Cuiaba --> Walker_2                        Jan 04 2024 04:53:45.144531250   Jan 04 2024 04:59:11.066406250       5.432031250
Cuiaba --> Walker_1                        Jan 04 2024 04:58:48.953125000   Jan 04 2024 05:03:56.679687500       5.128776042
Cuiaba --> Walker_10                       Jan 04 2024 05:13:05.128906250   Jan 04 2024 05:17:36.332031250       4.520052083
Cuiaba --> Walker_9                        Jan 04 2024 05:30:52.941406250   Jan 04 2024 05:33:51.972656250       2.983854167
Cuiaba --> Walker_4                        Jan 04 2024 12:48:24.527343750   Jan 04 2024 12:51:50.851562500       3.438736979
Cuiaba --> Walker_3                        Jan 04 2024 12:57:40.812500000   Jan 04 2024 13:02:00.726562500       4.331901042
Cuiaba --> Walker_2                        Jan 04 2024 12:59:11.125000000   Jan 04 2024 13:03:30.175781250       4.317513021
Cuiaba --> Walker_1                        Jan 04 2024 13:03:27.718750000   Jan 04 2024 13:08:07.023437500       4.655078125
Cuiaba --> Walker_10                       Jan 04 2024 13:17:32.406250000   Jan 04 2024 13:22:56.070312500       5.394401042
Cuiaba --> Walker_9                        Jan 04 2024 13:35:02.886718750   Jan 04 2024 13:40:51.253906250       5.806119792
Cuiaba --> Walker_8                        Jan 04 2024 13:44:31.390625000   Jan 04 2024 13:50:24.671875000       5.888020833
Cuiaba --> Walker_7                        Jan 04 2024 13:45:58.316406250   Jan 04 2024 13:51:47.281250000       5.816080729
Cuiaba --> Walker_6                        Jan 04 2024 13:50:31.378906250   Jan 04 2024 13:56:10.117187500       5.645638021
Cuiaba --> Walker_5                        Jan 04 2024 14:05:00.105468750   Jan 04 2024 14:10:23.835937500       5.395507812
Cuiaba --> Walker_4                        Jan 04 2024 14:23:05.183593750   Jan 04 2024 14:27:43.558593750       4.639583333
Cuiaba --> Walker_3                        Jan 04 2024 14:33:13.531250000   Jan 04 2024 14:36:51.144531250       3.626888021
Cuiaba --> Walker_2                        Jan 04 2024 14:34:45.371093750   Jan 04 2024 14:37:59.410156250       3.233984375
Cuiaba --> Walker_1                        Jan 04 2024 14:39:26.203125000   Jan 04 2024 14:41:56.945312500       2.512369792
Cuiaba --> Walker_5                        Jan 05 2024 03:15:45.046875000   Jan 05 2024 03:19:00.613281250       3.259440104
Cuiaba --> Walker_4                        Jan 05 2024 03:33:46.339843750   Jan 05 2024 03:38:49.816406250       5.057942708
Cuiaba --> Walker_2                        Jan 05 2024 03:43:22.148437500   Jan 05 2024 03:48:48.800781250       5.444205729
Cuiaba --> Walker_3                        Jan 05 2024 03:43:10.195312500   Jan 05 2024 03:48:44.683593750       5.574804688
Cuiaba --> Walker_1                        Jan 05 2024 03:46:54.382812500   Jan 05 2024 03:52:21.035156250       5.444205729
Cuiaba --> Walker_10                       Jan 05 2024 04:01:55.250000000   Jan 05 2024 04:07:45.343750000       5.834895833
Cuiaba --> Walker_9                        Jan 05 2024 04:21:04.144531250   Jan 05 2024 04:26:52.578125000       5.807226563
Cuiaba --> Walker_7                        Jan 05 2024 04:30:46.128906250   Jan 05 2024 04:36:12.847656250       5.445312500
Cuiaba --> Walker_8                        Jan 05 2024 04:30:46.062500000   Jan 05 2024 04:36:15.105468750       5.484049479
Cuiaba --> Walker_6                        Jan 05 2024 04:34:27.992187500   Jan 05 2024 04:39:46.011718750       5.300325521
Cuiaba --> Walker_5                        Jan 05 2024 04:50:11.359375000   Jan 05 2024 04:54:37.250000000       4.431510417
Cuiaba --> Walker_4                        Jan 05 2024 05:10:25.398437500   Jan 05 2024 05:12:51.425781250       2.433789062
Cuiaba --> Walker_9                        Jan 05 2024 12:27:45.230468750   Jan 05 2024 12:31:25.167968750       3.665625000
Cuiaba --> Walker_7                        Jan 05 2024 12:36:09.785156250   Jan 05 2024 12:40:37.070312500       4.454752604
Cuiaba --> Walker_8                        Jan 05 2024 12:36:52.550781250   Jan 05 2024 12:41:24.750000000       4.536653646
Cuiaba --> Walker_6                        Jan 05 2024 12:39:16.519531250   Jan 05 2024 12:43:48.054687500       4.525585937
Cuiaba --> Walker_5                        Jan 05 2024 12:54:35.050781250   Jan 05 2024 12:59:56.058593750       5.350130208
Cuiaba --> Walker_4                        Jan 05 2024 13:14:15.089843750   Jan 05 2024 13:20:10.496093750       5.923437500
Cuiaba --> Walker_2                        Jan 05 2024 13:23:13.113281250   Jan 05 2024 13:28:59.023437500       5.765169271
Cuiaba --> Walker_3                        Jan 05 2024 13:23:58.335937500   Jan 05 2024 13:29:51.218750000       5.881380208
Cuiaba --> Walker_1                        Jan 05 2024 13:26:11.878906250   Jan 05 2024 13:31:57.125000000       5.754101562
Cuiaba --> Walker_10                       Jan 05 2024 13:42:08.925781250   Jan 05 2024 13:47:34.117187500       5.419856771
Cuiaba --> Walker_9                        Jan 05 2024 14:02:42.621093750   Jan 05 2024 14:06:56.890625000       4.237825521
Cuiaba --> Walker_7                        Jan 05 2024 14:11:51.070312500   Jan 05 2024 14:14:58.203125000       3.118880208
Cuiaba --> Walker_8                        Jan 05 2024 14:12:43.265625000   Jan 05 2024 14:15:53.585937500       3.172005208
Cuiaba --> Walker_6                        Jan 05 2024 14:15:17.992187500   Jan 05 2024 14:17:34.457031250       2.274414062
Cuiaba --> Walker_10                       Jan 06 2024 02:52:48.355468750   Jan 06 2024 02:56:12.886718750       3.408854167
Cuiaba --> Walker_9                        Jan 06 2024 03:13:06.578125000   Jan 06 2024 03:18:24.464843750       5.298111979
Cuiaba --> Walker_7                        Jan 06 2024 03:20:19.015625000   Jan 06 2024 03:25:50.050781250       5.517252604
Cuiaba --> Walker_6                        Jan 06 2024 03:22:32.824218750   Jan 06 2024 03:28:08.773437500       5.599153646
Cuiaba --> Walker_8                        Jan 06 2024 03:22:27.046875000   Jan 06 2024 03:28:03.992187500       5.615755208
Cuiaba --> Walker_5                        Jan 06 2024 03:38:56.765625000   Jan 06 2024 03:44:47.722656250       5.849283854
Cuiaba --> Walker_4                        Jan 06 2024 04:00:20.730468750   Jan 06 2024 04:06:02.789062500       5.700976563
Cuiaba --> Walker_2                        Jan 06 2024 04:08:04.777343750   Jan 06 2024 04:13:26.449218750       5.361197917
Cuiaba --> Walker_1                        Jan 06 2024 04:10:16.925781250   Jan 06 2024 04:15:26.046875000       5.152018229
Cuiaba --> Walker_3                        Jan 06 2024 04:10:12.542968750   Jan 06 2024 04:15:39.394531250       5.447526042
Cuiaba --> Walker_10                       Jan 06 2024 04:27:21.972656250   Jan 06 2024 04:31:43.480468750       4.358463542
Cuiaba --> Walker_9                        Jan 06 2024 04:50:15.187500000   Jan 06 2024 04:52:00.972656250       1.763085938
Cuiaba --> Walker_4                        Jan 06 2024 12:06:46.875000000   Jan 06 2024 12:10:52.910156250       4.100585938
Cuiaba --> Walker_2                        Jan 06 2024 12:13:23.984375000   Jan 06 2024 12:17:52.464843750       4.474674479
Cuiaba --> Walker_1                        Jan 06 2024 12:14:57.085937500   Jan 06 2024 12:19:33.933593750       4.614127604
Cuiaba --> Walker_3                        Jan 06 2024 12:16:12.855468750   Jan 06 2024 12:21:00.527343750       4.794531250
Cuiaba --> Walker_10                       Jan 06 2024 12:31:41.613281250   Jan 06 2024 12:37:09.660156250       5.467447917
Cuiaba --> Walker_9                        Jan 06 2024 12:53:44.691406250   Jan 06 2024 12:59:35.117187500       5.840429688
Cuiaba --> Walker_7                        Jan 06 2024 13:00:12.503906250   Jan 06 2024 13:06:00.339843750       5.797265625
Cuiaba --> Walker_6                        Jan 06 2024 13:01:59.152343750   Jan 06 2024 13:07:38.089843750       5.648958333
Cuiaba --> Walker_8                        Jan 06 2024 13:03:15.453125000   Jan 06 2024 13:09:05.082031250       5.827148438
Cuiaba --> Walker_5                        Jan 06 2024 13:19:12.035156250   Jan 06 2024 13:24:30.054687500       5.300325521
Cuiaba --> Walker_4                        Jan 06 2024 13:42:01.664062500   Jan 06 2024 13:46:04.312500000       4.044140625
Cuiaba --> Walker_2                        Jan 06 2024 13:49:13.503906250   Jan 06 2024 13:52:03.902343750       2.839973958
Cuiaba --> Walker_1                        Jan 06 2024 13:50:53.179687500   Jan 06 2024 13:53:26.445312500       2.554427083
Cuiaba --> Walker_3                        Jan 06 2024 13:52:27.410156250   Jan 06 2024 13:55:02.468750000       2.584309896
Cuiaba --> Walker_5                        Jan 07 2024 02:29:43.496093750   Jan 07 2024 02:33:18.519531250       3.583723958
Cuiaba --> Walker_4                        Jan 07 2024 02:52:14.863281250   Jan 07 2024 02:57:38.328125000       5.391080729
Cuiaba --> Walker_2                        Jan 07 2024 02:57:35.273437500   Jan 07 2024 03:03:07.636718750       5.539388021
Cuiaba --> Walker_1                        Jan 07 2024 02:58:22.289062500   Jan 07 2024 03:03:48.742187500       5.440885417
Cuiaba --> Walker_3                        Jan 07 2024 03:01:46.820312500   Jan 07 2024 03:07:33.726562500       5.781770833
Cuiaba --> Walker_10                       Jan 07 2024 03:16:05.253906250   Jan 07 2024 03:21:56.210937500       5.849283854
Cuiaba --> Walker_9                        Jan 07 2024 03:39:51.394531250   Jan 07 2024 03:45:30.730468750       5.655598958
Cuiaba --> Walker_7                        Jan 07 2024 03:45:01.976562500   Jan 07 2024 03:50:23.847656250       5.364518229
Cuiaba --> Walker_6                        Jan 07 2024 03:45:53.972656250   Jan 07 2024 03:51:13.652343750       5.327994792
Cuiaba --> Walker_8                        Jan 07 2024 03:49:36.566406250   Jan 07 2024 03:54:50.468750000       5.231705729
Cuiaba --> Walker_5                        Jan 07 2024 04:04:25.148437500   Jan 07 2024 04:08:42.007812500       4.280989583
Cuiaba --> Walker_9                        Jan 07 2024 11:46:11.230468750   Jan 07 2024 11:50:26.960937500       4.262174479
Cuiaba --> Walker_7                        Jan 07 2024 11:50:18.460937500   Jan 07 2024 11:54:55.109375000       4.610807292
Cuiaba --> Walker_6                        Jan 07 2024 11:50:43.960937500   Jan 07 2024 11:55:14.234375000       4.504557292
Cuiaba --> Walker_8                        Jan 07 2024 11:55:23.730468750   Jan 07 2024 12:00:19.968750000       4.937304688
Cuiaba --> Walker_5                        Jan 07 2024 12:08:41.867187500   Jan 07 2024 12:14:06.792968750       5.415429687
Cuiaba --> Walker_4                        Jan 07 2024 12:32:54.039062500   Jan 07 2024 12:38:49.710937500       5.927864583
Cuiaba --> Walker_2                        Jan 07 2024 12:37:29.957031250   Jan 07 2024 12:43:13.941406250       5.733072917
Cuiaba --> Walker_1                        Jan 07 2024 12:37:39.386718750   Jan 07 2024 12:43:24.035156250       5.744140625
Cuiaba --> Walker_3                        Jan 07 2024 12:42:43.859375000   Jan 07 2024 12:48:31.695312500       5.797265625
Cuiaba --> Walker_10                       Jan 07 2024 12:56:21.519531250   Jan 07 2024 13:01:41.132812500       5.326888021
Cuiaba --> Walker_9                        Jan 07 2024 13:21:44.878906250   Jan 07 2024 13:25:15.453125000       3.509570313
Cuiaba --> Walker_6                        Jan 07 2024 13:26:42.445312500   Jan 07 2024 13:29:03.757812500       2.355208333
Cuiaba --> Walker_7                        Jan 07 2024 13:26:14.953125000   Jan 07 2024 13:28:58.710937500       2.729296875
Cuiaba --> Walker_8                        Jan 07 2024 13:32:05.710937500   Jan 07 2024 13:33:51.031250000       1.755338542
Cuiaba --> Walker_3                        Jan 08 2024 01:55:46.726562500   Jan 08 2024 01:57:20.226562500       1.558333333
Cuiaba --> Walker_10                       Jan 08 2024 02:06:48.664062500   Jan 08 2024 02:10:30.660156250       3.699934896
Cuiaba --> Walker_9                        Jan 08 2024 02:31:38.023437500   Jan 08 2024 02:37:13.507812500       5.591406250
Cuiaba --> Walker_6                        Jan 08 2024 02:33:58.738281250   Jan 08 2024 02:39:34.687500000       5.599153646
Cuiaba --> Walker_7                        Jan 08 2024 02:34:28.621093750   Jan 08 2024 02:40:04.238281250       5.593619792
Cuiaba --> Walker_8                        Jan 08 2024 02:41:02.078125000   Jan 08 2024 02:46:49.781250000       5.795052083
Cuiaba --> Walker_5                        Jan 08 2024 02:53:03.781250000   Jan 08 2024 02:58:56.066406250       5.871419271
Cuiaba --> Walker_4                        Jan 08 2024 03:19:05.789062500   Jan 08 2024 03:24:36.492187500       5.511718750
Cuiaba --> Walker_1                        Jan 08 2024 03:21:42.906250000   Jan 08 2024 03:26:53.421875000       5.175260417
Cuiaba --> Walker_2                        Jan 08 2024 03:22:22.750000000   Jan 08 2024 03:27:39.773437500       5.283723958
Cuiaba --> Walker_3                        Jan 08 2024 03:29:05.171875000   Jan 08 2024 03:34:14.359375000       5.153125000
Cuiaba --> Walker_10                       Jan 08 2024 03:41:37.222656250   Jan 08 2024 03:45:48.437500000       4.186914062
Cuiaba --> Walker_4                        Jan 08 2024 11:25:11.812500000   Jan 08 2024 11:29:48.195312500       4.606380208
Cuiaba --> Walker_1                        Jan 08 2024 11:26:24.527343750   Jan 08 2024 11:30:58.851562500       4.572070313
Cuiaba --> Walker_2                        Jan 08 2024 11:27:35.250000000   Jan 08 2024 11:32:12.496093750       4.620768229
Cuiaba --> Walker_3                        Jan 08 2024 11:34:45.828125000   Jan 08 2024 11:39:55.281250000       5.157552083
Cuiaba --> Walker_10                       Jan 08 2024 11:45:49.093750000   Jan 08 2024 11:51:21.058593750       5.532747396
Cuiaba --> Walker_9                        Jan 08 2024 12:12:26.363281250   Jan 08 2024 12:18:15.261718750       5.814973958
Cuiaba --> Walker_6                        Jan 08 2024 12:13:24.800781250   Jan 08 2024 12:19:04.136718750       5.655598958
Cuiaba --> Walker_7                        Jan 08 2024 12:14:25.031250000   Jan 08 2024 12:20:11.339843750       5.771809896
Cuiaba --> Walker_8                        Jan 08 2024 12:21:59.515625000   Jan 08 2024 12:27:41.640625000       5.702083333
Cuiaba --> Walker_5                        Jan 08 2024 12:33:22.304687500   Jan 08 2024 12:38:34.214843750       5.198502604
Cuiaba --> Walker_4                        Jan 08 2024 13:01:03.191406250   Jan 08 2024 13:04:16.234375000       3.217382812
Cuiaba --> Walker_1                        Jan 08 2024 13:02:18.031250000   Jan 08 2024 13:04:54.085937500       2.600911458
Cuiaba --> Walker_2                        Jan 08 2024 13:03:42.035156250   Jan 08 2024 13:06:04.277343750       2.370703125
Cuiaba --> Walker_8                        Jan 09 2024 01:34:36.949218750   Jan 09 2024 01:36:57.929687500       2.349674479
Cuiaba --> Walker_5                        Jan 09 2024 01:43:41.414062500   Jan 09 2024 01:47:33.171875000       3.862630208
Cuiaba --> Walker_1                        Jan 09 2024 02:09:48.136718750   Jan 09 2024 02:15:14.457031250       5.438671875
Cuiaba --> Walker_4                        Jan 09 2024 02:10:44.515625000   Jan 09 2024 02:16:22.589843750       5.634570313
Cuiaba --> Walker_2                        Jan 09 2024 02:11:46.937500000   Jan 09 2024 02:17:24.214843750       5.621289062
Cuiaba --> Walker_3                        Jan 09 2024 02:20:24.109375000   Jan 09 2024 02:26:18.984375000       5.914583333
Cuiaba --> Walker_10                       Jan 09 2024 02:30:13.597656250   Jan 09 2024 02:36:05.019531250       5.857031250
Cuiaba --> Walker_6                        Jan 09 2024 02:57:17.894531250   Jan 09 2024 03:02:39.300781250       5.356770833
Cuiaba --> Walker_9                        Jan 09 2024 02:58:38.910156250   Jan 09 2024 03:04:05.429687500       5.441992188
Cuiaba --> Walker_7                        Jan 09 2024 02:59:16.097656250   Jan 09 2024 03:04:32.722656250       5.277083333
Cuiaba --> Walker_8                        Jan 09 2024 03:08:27.800781250   Jan 09 2024 03:13:22.113281250       4.905208333
Cuiaba --> Walker_5                        Jan 09 2024 03:18:37.410156250   Jan 09 2024 03:22:44.507812500       4.118294271
Cuiaba --> Walker_10                       Jan 09 2024 10:37:35.191406250   Jan 09 2024 10:38:15.035156250       0.664062500
Cuiaba --> Walker_6                        Jan 09 2024 11:02:09.410156250   Jan 09 2024 11:06:38.289062500       4.481315104
Cuiaba --> Walker_7                        Jan 09 2024 11:04:25.675781250   Jan 09 2024 11:09:10.757812500       4.751367187
Cuiaba --> Walker_9                        Jan 09 2024 11:04:39.289062500   Jan 09 2024 11:09:22.578125000       4.721484375
Cuiaba --> Walker_8                        Jan 09 2024 11:13:55.441406250   Jan 09 2024 11:19:10.472656250       5.250520833
Cuiaba --> Walker_5                        Jan 09 2024 11:22:46.957031250   Jan 09 2024 11:28:15.402343750       5.474088542
Cuiaba --> Walker_1                        Jan 09 2024 11:49:04.968750000   Jan 09 2024 11:54:48.953125000       5.733072917
Cuiaba --> Walker_2                        Jan 09 2024 11:51:45.074218750   Jan 09 2024 11:57:26.800781250       5.695442708
Cuiaba --> Walker_4                        Jan 09 2024 11:51:32.855468750   Jan 09 2024 11:57:25.207031250       5.872526042
Cuiaba --> Walker_3                        Jan 09 2024 12:01:29.316406250   Jan 09 2024 12:07:08.121093750       5.646744792
Cuiaba --> Walker_10                       Jan 09 2024 12:10:32.519531250   Jan 09 2024 12:15:45.957031250       5.223958333
Cuiaba --> Walker_6                        Jan 09 2024 12:38:04.707031250   Jan 09 2024 12:40:31.332031250       2.443750000
Cuiaba --> Walker_7                        Jan 09 2024 12:40:39.300781250   Jan 09 2024 12:42:54.902343750       2.260026042
Cuiaba --> Walker_9                        Jan 09 2024 12:40:56.167968750   Jan 09 2024 12:43:21.265625000       2.418294271
Cuiaba --> Walker_3                        Jan 10 2024 01:13:40.054687500   Jan 10 2024 01:16:45.394531250       3.088997396
